ID;RELEASE;SUBDIR_ECWMF;SUBDIR_COSMO;Station;Contributor;ICOS2020;Flask/Continuous;Latitude;Longitude;Elevation (masl);Sheight (magl);Usage_D4.7;Usage_D4.8;Usage_D4.15;REMARKS;;;;;;;;;;
PUY;PUY_1475_ASL;CORE_01;VRFY00;Puy de D�me;LSCE;Y;C;45.77;2.97;1465;10;assim;assim;exclude;;;;;;;;;;;
PUY;PUY_1475_ASL;CORE_01;VRFY00;Puy de D�me;LSCE;Y;F;45.77;2.97;1465;10;assim;assim;exclude;;;;;;;;;;;
PUY_ICO_001;PUY_1475_ASL;CORE_01;VRFY00;Puy de D�me;ICOS;Y;C;45.77;2.97;1465;10;exclude;exclude;assim;;;;;;;;;;;
RGL;RGL_90_AGL;;VRFY01;Ridge Hill;UoB;N;C;51.998;-2.54;204;90;exclude;exclude;option;;;;;;;;;;;
SCH;SCH_1213_ASL;CORE_01;VRFY00;Schauinsland;UBA;N;C;47.92;7.92;1205;8;assim;assim;option;true station ID is SSL;;;;;;;;;;
SCH;SCH_992_ASL;;VRFY00;Schauinsland;UBA;N;C;47.92;7.92;1205;8;exclude;exclude;exclude;true station ID is SSL;;;;;;;;;;
SGC;SGC_20_AGL;;ADDITIONAL;Sierra de Grazalema;IC3;N;C;36.696;-5.398;850;20;valid;valid;option;;;;;;;;;;;
SMR;;;;SMEAR-II Hyytiala;ICOS;Y;C;61.847;24.295;181;125;outside;outside;outside;;;;;;;;;;;
SMR_ICO_001;;;;SMEAR II-ICOS Hyytiala, 181m+16.8m, ICOS, Finland;ICOS;Y;C;61.847;24.295;181;16.8;outside;outside;outside;;;;;;;;;;;
SMR_ICO_002;;;;SMEAR II-ICOS Hyytiala, 181m+67.2m, ICOS, Finland;ICOS;Y;C;61.847;24.295;181;67.2;outside;outside;outside;;;;;;;;;;;
SNB;SNB_3111_ASL;;VRFY01;Sonnblick;UBAA;N;C;47.05;12.95;3106;5;valid;valid;option;;;;;;;;;;;
SNB;SNB_2666_ASL;;VRFY01;Sonnblick;UBAA;N;C;47.05;12.95;3106;5;exclude;exclude;exclude;;;;;;;;;;;
SSC;SSC_5_AGL;;VRFY01;Sierra de Segura;IC3;N;C;30.303;-2.59;1349;20;valid;valid;option;;;;;;;;;;;
STM;STM_5_AGL;CORE_01;;Ocean Station M;NOAA;N;F;66;2;4;0;assim;option;outside;;;;;;;;;;;
SVB;;;;Svartberget;ICOS;Y;C;64.256;19.775;235;150;outside;outside;outside;;;;;;;;;;;
SVB_ICO_001;;;;Svartberget, 235m+35, ICOS, Sweden;ICOS;Y;C;64.256;19.775;235;35;outside;outside;outside;;;;;;;;;;;
